,X1,id,date,start_time,end_time,weekdays,pattern,period,start,end,direction,type,length,number.amean,number.gmean,number.median,number.max,number.min,number.sd,number.q5,number.q25,number.q75,number.q95,size.mean,size.median,size.max,size.min,PM25_wanliu,TEMP,RH,BP,WD,WS,pek.a.mean,NO2,NO2_anual,ratio,a.mean.adj,g.mean.adj
1,1,1,5/20/2015,5/20/2015 18:55,5/20/2015 19:30,weekday,peak,pm,sd,zgc,inward,bus,2096,38539.47281,32580.03219,29603.5,823959,3612,37499.53862,19022.5,23158.75,37985.5,91347.5,52.53430344,45.7,292.5,23.3,23.1,26.30533,22.471,1005.7867,201.8123995,3.975333323,27838.40833,34.9,58.4,0.59760274,64490.12065,54517.87619
2,2,2,5/21/2015,5/21/2015 8:14,5/21/2015 8:51,weekday,peak,am,sd,zgc,inward,bus,2210,29621.89683,26422.30939,24272.5,945916,7099,27564.49967,15981.15,20053.5,31253.25,63361.1,55.87036199,57,146.7,32.4,41.8,23.40533,28.172,1006.78,135.0072001,1.052583332,19614.485,90.1,58.4,1.542808219,19199.98641,17126.11397
3,3,3,5/21/2015,5/21/2015 17:30,5/21/2015 18:07,weekday,peak,pm,zgc,sd,outward,bus,2223,45105.80837,36653.96354,34500,4028708,23262,123447.5531,27726.3,30680.5,39345,54152.1,40.36621682,39.5,70,14.8,33.9,27.21167,28.416667,1001.4267,196.5828,4.919000006,47681.02417,32.8,58.4,0.561643836,80310.34167,65261.93504
4,4,4,5/21/2015,5/21/2015 18:21,5/21/2015 18:50,weekday,peak,pm,sd,zgc,inward,bus,1752,48830.88584,44813.16724,42709.5,290771,24163,26680.12289,26223.4,35921.5,52736.75,88319.85,44.33150685,41.8,86.8,23.9,31.9,25.961,29.952333,1001.5667,195.3792005,5.260916658,41847.18917,32.2,58.4,0.551369863,88562.84886,81276.05487
5,5,5,5/22/2015,5/22/2015 7:17,5/22/2015 7:45,weekday,peak,am,sd,zgc,inward,bus,1645,54278.13252,51270.15281,54471,108570,10707,16576.0674,21308.4,44515,65494,79414,76.58085106,75.7,201.9,50.1,54.5,20.758,41.896333,1004.33,197.2031995,1.069583335,20929.02417,87.6,58.4,1.5,36185.42168,34180.10187
6,6,6,5/22/2015,5/22/2015 8:09,5/22/2015 8:36,weekday,peak,am,zgc,sd,outward,bus,1609,38628.94655,35471.09754,33949,103535,15296,16779.92279,20361.2,25121,49084,73531.2,58.82604102,58.2,106.6,32.7,53.1,22.466,38.503666,1004.48,182.2116001,1.222166664,19043.16417,74.4,58.4,1.273972603,30321.64621,27842.90451
7,7,7,5/22/2015,5/22/2015 16:49,5/22/2015 17:15,weekday,peak,pm,zgc,sd,outward,bus,1543,56041.62605,51522.08081,49427,125304,18373,23676.76972,26215.4,38858,66926.5,106024,55.25605962,57,98.6,31.6,45.5,29.113,27.358667,999.31,183.4908001,3.155833355,29872.80917,28.7,58.4,0.491438356,114035.922,104839.3561
8,8,8,5/22/2015,5/22/2015 17:16,5/22/2015 17:50,weekday,peak,pm,sd,zgc,inward,bus,2065,44679.12446,41403.99867,39494,287858,13660,21105.72897,22340.2,33455,49372,84430.8,57.88876513,55.8,143.4,25.6,45.5,29.113,27.358667,999.31,183.4908001,3.155833355,29872.80917,28.7,58.4,0.491438356,90915.01286,84250.6454
9,9,9,5/24/2015,5/24/2015 19:23,5/24/2015 19:49,weekend,off.peak,pm,zgc,sd,outward,bus,1563,35939.21241,34974.17075,34267,85513,20830,8651.83296,23602,29863.5,41297.5,51437.5,60.88554063,60.5,93.9,45,88.2,29.472,34.67033,997.6617,173.3172,2.312166661,34798.67333,51.2,58.4,0.876712329,40993.16415,39892.4135
10,10,10,5/24/2015,5/24/2015 19:54,5/24/2015 20:21,weekend,off.peak,pm,sd,zgc,inward,bus,1302,50748.60061,46394.79657,44613,284720,20288,26878.93249,27924.9,33712,58639.5,90155.65,58.00975422,58.4,91.2,24.8,81.9,28.98733,35.70267,998.1117,198.8232005,2.660333327,29319.73333,66.1,58.4,1.131849315,44836.88769,40990.259
