,date,hour,pm2.5,pm10,so2,no2,ozone,co
1,1/1/2015,0:00:00,6.9,16.1,10.8,14.7,36.6,0.3
2,1/1/2015,1:00:00,3.4,14.7,9.7,11.6,39.9,0.3
3,1/1/2015,2:00:00,3,25.9,NA,10.6,40.5,0.3
4,1/1/2015,3:00:00,4.5,28,11.9,8.3,40.5,0.4
5,1/1/2015,4:00:00,4.4,16.2,12.6,8.6,NA,0.4
6,1/1/2015,5:00:00,4.4,20.4,12.4,33.7,21.9,0.5
7,1/1/2015,6:00:00,6.6,25.9,13.7,41,8.2,0.6
8,1/1/2015,7:00:00,7,23.2,13.5,39.6,9.3,0.6
9,1/1/2015,8:00:00,8.2,28.5,14.6,53.3,2,0.8
10,1/1/2015,9:00:00,NA,NA,NA,NA,NA,NA
11,1/1/2015,10:00:00,12.2,23.9,16.7,53.9,4,0.8
12,1/1/2015,11:00:00,14.4,24.4,19.7,55.4,7.4,1
13,1/1/2015,12:00:00,35.5,64.7,28.6,51.3,18.4,1
14,1/1/2015,13:00:00,32.7,57.3,23.7,45.1,28.3,1
15,1/1/2015,14:00:00,46,81.3,26.7,50.8,31.3,1.1
16,1/1/2015,15:00:00,41.1,71.9,19.9,45.4,32.9,0.9
17,1/1/2015,16:00:00,48.3,76.8,22.4,52.2,28.8,1
18,1/1/2015,17:00:00,50.5,90.5,22.6,61.3,21.3,1.1
19,1/1/2015,18:00:00,64.4,118.1,34.4,82.2,5.3,1.4
20,1/1/2015,19:00:00,75.8,136.6,42.3,92.5,2,1.6
21,1/1/2015,20:00:00,81.4,146.1,50,94.6,2,1.9
22,1/1/2015,21:00:00,92.7,172,52.4,94.6,2,2.4
23,1/1/2015,22:00:00,92.6,166.5,48.5,92,2,2.6
24,1/1/2015,23:00:00,92.9,162.2,43.6,88.4,2,2.7
25,1/2/2015,0:00:00,103.9,178.9,65.1,93,2,4.1
26,1/2/2015,1:00:00,107.2,182.3,72,94.9,2,4.7
27,1/2/2015,2:00:00,95.5,159.4,53.9,97.6,2,3.2
